"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"13-JUL-2026","MANCREDIT","Mangal Credit N Fincorp L","BULLPULSE MARKETEDGE PRIVATE LIMITED","BUY","1,74,201","244.26","-"
"13-JUL-2026","MANCREDIT","Mangal Credit N Fincorp L","SHREE NAMAN SECURITIES & FINANCE PRIVATE LIMITED","SELL","1,60,919","244.80","-"
"13-JUL-2026","MANCREDIT","Mangal Credit N Fincorp L","SHREE NAMAN SECURITIES & FINANCE PRIVATE LIMITED","BUY","1,60,919","244.60","-"
"13-JUL-2026","MOBIKWIK","One Mobikwik Systems Ltd","QE SECURITIES LLP","SELL","4,16,919","225.45","-"
"13-JUL-2026","MOBIKWIK","One Mobikwik Systems Ltd","QE SECURITIES LLP","BUY","4,26,815","225.65","-"
"13-JUL-2026","MOTISONS","Motisons Jewellers Ltd","ARIHANT CAPITAL MARKETS LIMITED","BUY","1,97,06,602","14.38","-"
"13-JUL-2026","MOTISONS","Motisons Jewellers Ltd","ARIHANT CAPITAL MARKETS LIMITED","SELL","2,06,68,519","14.30","-"
"13-JUL-2026","MOTISONS","Motisons Jewellers Ltd","HRTI PRIVATE LIMITED","BUY","59,23,914","14.30","-"
"13-JUL-2026","MOTISONS","Motisons Jewellers Ltd","HRTI PRIVATE LIMITED","SELL","60,31,656","14.32","-"
"13-JUL-2026","MPEL","Manas Polymer N Energie L","ARUN GAHLOT","BUY","68,800","41.00","-"
"13-JUL-2026","MUNISH","Munish Forge Limited","GIRIRAJ STOCK BROKING PRIVATE LIMITED","SELL","1,44,000","69.00","-"
"13-JUL-2026","MUNISH","Munish Forge Limited","NEHA MADHOK","BUY","1,44,000","69.00","-"
"13-JUL-2026","NEWGEN","Newgen Software Tech Ltd","HRTI PRIVATE LIMITED","BUY","7,29,936","569.24","-"
"13-JUL-2026","NEWGEN","Newgen Software Tech Ltd","HRTI PRIVATE LIMITED","SELL","7,36,160","572.24","-"
"13-JUL-2026","NEWGEN","Newgen Software Tech Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","8,09,131","571.25","-"
"13-JUL-2026","NEWGEN","Newgen Software Tech Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","8,10,429","570.93","-"
"13-JUL-2026","NEWGEN","Newgen Software Tech Ltd","MICROCURVES TRADING PRIVATE LIMITED","BUY","18,94,856","581.37","-"
"13-JUL-2026","NEWGEN","Newgen Software Tech Ltd","MICROCURVES TRADING PRIVATE LIMITED","SELL","18,94,856","581.66","-"
"13-JUL-2026","NEWGEN","Newgen Software Tech Ltd","QE SECURITIES LLP","BUY","11,85,786","576.21","-"
"13-JUL-2026","NEWGEN","Newgen Software Tech Ltd","QE SECURITIES LLP","SELL","12,41,513","571.83","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","ALPHAGREP SECURITIES PRIVATE LIMITED","SELL","1,19,464","354.18","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","ALPHAGREP SECURITIES PRIVATE LIMITED","BUY","1,19,464","354.53","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","1,22,401","356.68","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","1,26,080","356.74","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","MICROCURVES TRADING PRIVATE LIMITED","SELL","94,357","357.29","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","MICROCURVES TRADING PRIVATE LIMITED","BUY","94,357","357.09","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","1,04,314","355.52","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","1,04,314","355.22","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","QE SECURITIES LLP","SELL","1,01,683","352.80","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","QE SECURITIES LLP","BUY","1,02,939","355.98","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","QICAP MARKETS LLP","BUY","88,153","357.95","-"
"13-JUL-2026","PPAP","PPAP Automotive Limited","QICAP MARKETS LLP","SELL","88,153","357.25","-"
"13-JUL-2026","PPSL","Picturepost Studios Ltd","MADHU KUMARI","BUY","1,89,000","2.45","-"
"13-JUL-2026","PPSL","Picturepost Studios Ltd","RINKU MAHAVIR MEHTA","BUY","1,50,000","2.45","-"
"13-JUL-2026","PPSL","Picturepost Studios Ltd","SHAILENDRA ISHWARDAS CHANDGOTIA","SELL","7,74,000","2.45","-"
"13-JUL-2026","RICHA","Richa Info Systems Ltd","DEEPA SANDEEP DHAM","SELL","74,000","93.00","-"
"13-JUL-2026","SHANTI","Shanti Overseas (Ind) Ltd","IMC INDIA SECURITIES PRIVATE LIMITED","BUY","58,373","6.86","-"
"13-JUL-2026","SKMEGGPROD","SKM Egg Products Export","HRTI PRIVATE LIMITED","BUY","2,34,760","355.73","-"
"13-JUL-2026","SKMEGGPROD","SKM Egg Products Export","HRTI PRIVATE LIMITED","SELL","2,65,802","355.43","-"
"13-JUL-2026","SKMEGGPROD","SKM Egg Products Export","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","3,34,018","358.12","-"
"13-JUL-2026","SKMEGGPROD","SKM Egg Products Export","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","3,36,873","358.29","-"
"13-JUL-2026","SONATSOFTW","Sonata Software Ltd","MICROCURVES TRADING PRIVATE LIMITED","SELL","23,36,032","319.18","-"
"13-JUL-2026","SONATSOFTW","Sonata Software Ltd","MICROCURVES TRADING PRIVATE LIMITED","BUY","23,36,032","319.04","-"
"13-JUL-2026","SUMEET-RE","Sumeet Industries Ltd","AJAY MITTAL","BUY","10,00,000","2.48","-"
"13-JUL-2026","SUMEET-RE","Sumeet Industries Ltd","MANSI SHARE AND STOCK BROKING PRIVATE LIMITED","BUY","10,00,000","2.48","-"
"13-JUL-2026","SUMEET-RE","Sumeet Industries Ltd","PADMINI POLYTEX PRIVATE LIMITED","SELL","80,00,000","2.48","-"
"13-JUL-2026","SUMEET-RE","Sumeet Industries Ltd","PRIJAL TRADEFIN LLP","SELL","1,00,000","2.40","-"
"13-JUL-2026","SUMEET-RE","Sumeet Industries Ltd","PRIJAL TRADEFIN LLP","BUY","10,00,000","2.48","-"
"13-JUL-2026","SVLL","Shree Vasu Logistics Ltd","B D PLYWOODS PRIVATE LIMITED","SELL","57,501","677.55","-"
"13-JUL-2026","ZENSARTECH","Zensar Technologies -Depo","HRTI PRIVATE LIMITED","SELL","18,49,127","529.79","-"
"13-JUL-2026","ZENSARTECH","Zensar Technologies -Depo","HRTI PRIVATE LIMITED","BUY","19,53,936","532.57","-"
"13-JUL-2026","ZENSARTECH","Zensar Technologies -Depo","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","16,74,292","530.25","-"
"13-JUL-2026","ZENSARTECH","Zensar Technologies -Depo","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","16,75,876","530.48","-"
"13-JUL-2026","ZENSARTECH","Zensar Technologies -Depo","MICROCURVES TRADING PRIVATE LIMITED","SELL","16,86,682","535.28","-"
"13-JUL-2026","ZENSARTECH","Zensar Technologies -Depo","MICROCURVES TRADING PRIVATE LIMITED","BUY","16,86,682","534.98","-"
"13-JUL-2026","ZENSARTECH","Zensar Technologies -Depo","QE SECURITIES LLP","SELL","11,19,044","532.18","-"
"13-JUL-2026","ZENSARTECH","Zensar Technologies -Depo","QE SECURITIES LLP","BUY","11,52,318","534.55","-"
"14-JUL-2026","AASTHA","Aastha Spintex Limited","RATHOD DIGVIJAYSINH RAJENDRASINH","BUY","2,50,000","135.45","-"
"14-JUL-2026","AASTHA","Aastha Spintex Limited","RATHOD DIGVIJAYSINH RAJENDRASINH","SELL","2,92,579","135.46","-"
"14-JUL-2026","AASTHA","Aastha Spintex Limited","TRADE PULSE BROKING PRIVATE LIMITED","BUY","3,00,000","135.45","-"
"14-JUL-2026","AGIIL","Agi Infra Limited","ARIHANT CAPITAL MARKETS LIMITED","SELL","12,63,124","347.54","-"
"14-JUL-2026","AGIIL","Agi Infra Limited","ARIHANT CAPITAL MARKETS LIMITED","BUY","12,63,877","347.23","-"
"14-JUL-2026","ATALREAL","Atal Realtech Limited","ACHINTYA SECURITIES LIMITED","BUY","7,00,000","29.00","-"
"14-JUL-2026","ATALREAL","Atal Realtech Limited","ALTIZEN VENTURES LLP","BUY","10,04,565","28.76","-"
"14-JUL-2026","ATALREAL","Atal Realtech Limited","ALTIZEN VENTURES LLP","SELL","22,24,053","28.87","-"
"14-JUL-2026","ATALREAL","Atal Realtech Limited","HRTI PRIVATE LIMITED","SELL","3,18,128","28.78","-"
"14-JUL-2026","ATALREAL","Atal Realtech Limited","HRTI PRIVATE LIMITED","BUY","8,77,288","28.92","-"
"14-JUL-2026","ATALREAL","Atal Realtech Limited","VANITA SANJAY BANSAL","SELL","7,22,000","28.97","-"
"14-JUL-2026","BIOCON","Biocon Limited","ICICI PRUDENTIAL MUTUAL FUND","BUY","1,84,37,500","400.00","-"
"14-JUL-2026","BIOCON","Biocon Limited","MYLAN INC.","SELL","4,59,83,509","400.00","-"
"14-JUL-2026","COUNCODOS","Country Condo's Limited","AMIT KUMAR JAIN","SELL","3,49,186","7.53","-"
"14-JUL-2026","COUNCODOS","Country Condo's Limited","AMIT KUMAR JAIN","BUY","4,28,607","7.53","-"
"14-JUL-2026","DYCL","Dynamic Cables Limited","ALPHAGREP SECURITIES PRIVATE LIMITED","BUY","2,81,111","394.56","-"
"14-JUL-2026","DYCL","Dynamic Cables Limited","ALPHAGREP SECURITIES PRIVATE LIMITED","SELL","2,81,111","394.82","-"
"14-JUL-2026","DYCL","Dynamic Cables Limited","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","4,46,084","395.18","-"
"14-JUL-2026","DYCL","Dynamic Cables Limited","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","4,49,975","395.44","-"
"14-JUL-2026","DYCL","Dynamic Cables Limited","MICROCURVES TRADING PRIVATE LIMITED","SELL","3,22,956","397.60","-"
"14-JUL-2026","DYCL","Dynamic Cables Limited","MICROCURVES TRADING PRIVATE LIMITED","BUY","3,22,956","397.20","-"
"14-JUL-2026","DYCL","Dynamic Cables Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","2,89,583","396.94","-"
"14-JUL-2026","DYCL","Dynamic Cables Limited","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","2,89,583","396.79","-"
"14-JUL-2026","DYCL","Dynamic Cables Limited","QE SECURITIES LLP","BUY","2,45,580","392.81","-"
"14-JUL-2026","DYCL","Dynamic Cables Limited","QE SECURITIES LLP","SELL","2,46,154","395.55","-"
"14-JUL-2026","DYCL","Dynamic Cables Limited","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","BUY","2,52,101","396.04","-"
"14-JUL-2026","DYCL","Dynamic Cables Limited","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","SELL","2,52,101","396.29","-"
"14-JUL-2026","EXIMROUTES","Exim Routes Limited","ALLINA  QURESHI","SELL","1,98,400","110.00","-"
"14-JUL-2026","EXIMROUTES","Exim Routes Limited","BIMA PAY TECHNOLOGY PRIVATE LIMITED","BUY","1,98,400","110.00","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","ALPHAGREP SECURITIES PRIVATE LIMITED","SELL","5,66,619","177.72","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","ALPHAGREP SECURITIES PRIVATE LIMITED","BUY","5,66,619","177.80","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","BLITZQUANT RESEARCH LLP","BUY","9,78,587","180.87","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","BLITZQUANT RESEARCH LLP","SELL","9,78,587","180.95","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","CLT RESEARCH TECH PRIVATE LTD","BUY","6,94,451","180.11","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","CLT RESEARCH TECH PRIVATE LTD","SELL","6,94,451","180.18","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","BUY","14,99,942","179.07","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","SELL","15,04,474","179.36","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","SELL","9,90,366","179.79","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","BUY","10,08,356","179.20","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","GRT STRATEGIC VENTURES LLP","BUY","6,65,692","180.65","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","GRT STRATEGIC VENTURES LLP","SELL","6,65,692","180.70","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","IMC INDIA SECURITIES PRIVATE LIMITED","SELL","4,34,934","177.98","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","IMC INDIA SECURITIES PRIVATE LIMITED","BUY","4,34,934","175.76","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","IRAGE BROKING SERVICES LLP","SELL","7,17,911","179.37","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","IRAGE BROKING SERVICES LLP","BUY","11,96,689","177.83","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","SELL","11,94,848","179.94","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","BUY","11,94,848","179.87","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","8,84,142","178.68","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","9,34,768","178.62","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","MICROCURVES TRADING PRIVATE LIMITED","SELL","23,40,374","180.26","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","MICROCURVES TRADING PRIVATE LIMITED","BUY","23,40,374","180.23","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","SELL","16,72,678","179.46","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","NK SECURITIES RESEARCH PRIVATE LIMITED","BUY","16,72,678","179.36","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","PUMA SECURITIES","BUY","4,77,682","178.47","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","PUMA SECURITIES","SELL","4,77,682","178.58","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","QE SECURITIES LLP","BUY","13,29,490","179.64","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","QE SECURITIES LLP","SELL","13,57,155","179.62","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","SHARE INDIA SECURITIES LIMITED","BUY","4,39,498","182.16","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","SHARE INDIA SECURITIES LIMITED","SELL","4,43,498","182.18","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","SELL","7,98,490","177.39","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED","BUY","7,98,490","177.36","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","VINSUL MAKARDI LTD","BUY","4,46,867","178.74","-"
"14-JUL-2026","FINOPB","Fino Payments Bank Ltd","VINSUL MAKARDI LTD","SELL","4,46,867","178.97","-"
"14-JUL-2026","GCSL","Gretex Corporate Services","MANSUKH SECURITIES & FINANCE LIMITED","BUY","92,118","510.58","-"
"14-JUL-2026","GCSL","Gretex Corporate Services","MANSUKH SECURITIES & FINANCE LIMITED","SELL","1,21,142","508.05","-"
"14-JUL-2026","HARIOMPIPE","Hariom Pipe Industries L","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","1,95,456","416.25","-"
"14-JUL-2026","HARIOMPIPE","Hariom Pipe Industries L","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","1,97,529","415.81","-"
"14-JUL-2026","HARIOMPIPE","Hariom Pipe Industries L","MICROCURVES TRADING PRIVATE LIMITED","SELL","1,80,990","420.20","-"
"14-JUL-2026","HARIOMPIPE","Hariom Pipe Industries L","MICROCURVES TRADING PRIVATE LIMITED","BUY","1,80,990","419.99","-"
"14-JUL-2026","HARIOMPIPE","Hariom Pipe Industries L","QE SECURITIES LLP","SELL","2,66,284","413.57","-"
"14-JUL-2026","HARIOMPIPE","Hariom Pipe Industries L","QE SECURITIES LLP","BUY","2,67,958","415.59","-"
"14-JUL-2026","IKIO","IKIO Technologies Limited","HRTI PRIVATE LIMITED","BUY","4,98,808","218.25","-"
"14-JUL-2026","IKIO","IKIO Technologies Limited","HRTI PRIVATE LIMITED","SELL","5,05,837","219.64","-"
"14-JUL-2026","IKIO","IKIO Technologies Limited","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","5,91,306","219.33","-"
"14-JUL-2026","IKIO","IKIO Technologies Limited","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","5,93,470","219.46","-"
"14-JUL-2026","JUSTDIAL","Justdial Ltd.","BLITZQUANT RESEARCH LLP","SELL","7,24,056","760.12","-"
"14-JUL-2026","JUSTDIAL","Justdial Ltd.","BLITZQUANT RESEARCH LLP","BUY","7,24,056","759.81","-"
"14-JUL-2026","JUSTDIAL","Justdial Ltd.","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","SELL","4,94,438","765.22","-"
"14-JUL-2026","JUSTDIAL","Justdial Ltd.","DIPAN MEHTA COMMODITIES PRIVATE LIMITED","BUY","4,94,438","764.52","-"
"14-JUL-2026","JUSTDIAL","Justdial Ltd.","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","SELL","8,66,392","763.68","-"
"14-JUL-2026","JUSTDIAL","Justdial Ltd.","ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED","BUY","8,69,392","762.85","-"
"14-JUL-2026","JUSTDIAL","Justdial Ltd.","GRT STRATEGIC VENTURES LLP","SELL","5,21,724","763.39","-"
